"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MA__ACT: It was great to follow the tweets from #GlamSlam2018 yesterday. Check out the hashtag for some nice reading material like this…",FALSE,0,NA,2018-03-02 09:30:41,FALSE,NA,"969505262095581185",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","janecowell8",2,TRUE,FALSE,NA,NA
"2","RT @MA__ACT: One more find from the #GlamSlam2018 feed, smaller #GLAMR institutions might find this #digital practices guideline useful fro…",FALSE,0,NA,2018-03-02 09:07:29,FALSE,NA,"969499422491996161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ALIARareSpecial",1,TRUE,FALSE,NA,NA
"3","One more find from the #GlamSlam2018 feed, smaller #GLAMR institutions might find this #digital practices guideline… https://t.co/j383yN3mGk",FALSE,2,NA,2018-03-02 09:00:01,TRUE,NA,"969497544626712576",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MA__ACT",1,FALSE,FALSE,NA,NA
"4","It was great to see the ""Impact of our National Cultural Institutions"" report in the #GlamSlam2018 feed yesterday… https://t.co/WDveNaqBMT",FALSE,0,NA,2018-03-02 08:56:00,TRUE,NA,"969496532331372546",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MA__ACT",0,FALSE,FALSE,NA,NA
"5","Love reading about the ways #socialmedia has (and is) changing the way people interact with #GLAMR institutions! Th… https://t.co/ohoAcTGgh4",FALSE,0,NA,2018-03-02 08:52:00,TRUE,NA,"969495525966753792",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MA__ACT",0,FALSE,FALSE,NA,NA
"6","Found out about Spotlight at @Stanford libraries from #GlamSlam2018 too https://t.co/gSAhlaGRzP",FALSE,0,NA,2018-03-02 08:48:00,FALSE,NA,"969494519182868480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MA__ACT",0,FALSE,FALSE,NA,NA
"7","RT @MA__ACT: It was great to follow the tweets from #GlamSlam2018 yesterday. Check out the hashtag for some nice reading material like this…",FALSE,0,NA,2018-03-02 08:43:08,FALSE,NA,"969493295461146624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ALIANewGrads",2,TRUE,FALSE,NA,NA
"8","It was great to follow the tweets from #GlamSlam2018 yesterday. Check out the hashtag for some nice reading materia… https://t.co/kjsIKzSk2P",FALSE,3,NA,2018-03-02 08:42:35,TRUE,NA,"969493156902223872",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MA__ACT",2,FALSE,FALSE,NA,NA
"9","RT @cap_and_gown: Silos or relationships? #glamslam2018 https://t.co/KHx1ONuz54",FALSE,0,NA,2018-03-02 08:32:44,FALSE,NA,"969490676877426688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaMonicaGalassi",0,TRUE,FALSE,NA,NA
"10","RT @cap_and_gown: GLAMSLAMMERS I have uploaded photos from #GLAMSLAM2018 to the Australian Centre for Public History's facebook page. Like…",FALSE,0,NA,2018-03-02 07:33:47,FALSE,NA,"969475844589498369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BonnieWildie",2,TRUE,FALSE,NA,NA
"11","@cap_and_gown No problem at all Tamson - good to see you, and thanks for all of your work pulling #GlamSlam2018 tog… https://t.co/fmbNWaGFeI",FALSE,0,"cap_and_gown",2018-03-02 07:21:56,TRUE,"969469411617722368","969472861902532608","330879643","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","mikejonesmelb",0,FALSE,FALSE,NA,NA
"12","GLAMSLAMMERS we’ve emailed you with a feedback survey. Pls fill it out while thoughts are fresh #glamslam2018",FALSE,2,NA,2018-03-02 07:20:27,FALSE,NA,"969472488148103169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cap_and_gown",0,FALSE,FALSE,NA,NA
"13","RT @cap_and_gown: GLAMSLAMMERS I have uploaded photos from #GLAMSLAM2018 to the Australian Centre for Public History's facebook page. Like…",FALSE,0,NA,2018-03-02 07:08:49,FALSE,NA,"969469558879735808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cap_and_gown",2,TRUE,FALSE,NA,NA
"14","RT @ellenforsyth: #glamslam2018 example of #iiif collaboration https://t.co/1XunCbue5R and 'democratises access' so items from small collec…",FALSE,0,NA,2018-03-02 06:59:54,FALSE,NA,"969467316143607808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DFaehle",4,TRUE,FALSE,NA,NA
"15","Signing off from GLAMSLAM central. For the moment! #Glamslam2018",FALSE,2,NA,2018-03-02 06:49:01,FALSE,NA,"969464576109498368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AgrippinaMaior",0,FALSE,FALSE,NA,NA
"16","RT @TroveAustralia: The Trove team are watching #glamslam2018 from afar today...  If you see anything interesting that uses Trove, let us k…",FALSE,0,NA,2018-03-02 06:23:02,FALSE,NA,"969458039504932864",NA,"<a href=""http://measuredvoice.com"" rel=""nofollow"">Great Oz Gov Tweets</a>","GreatOzGovTweet",7,TRUE,FALSE,NA,NA
"17","RT @BonnieWildie: Interestingly, the attendees at the #glamslam2018 Hacking GLAM session were researchers and educators - no institutional…",FALSE,0,NA,2018-03-02 06:15:34,FALSE,NA,"969456156618862592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TurbittNDuck",5,TRUE,FALSE,NA,NA
"18","RT @statelibrarynsw: Smaller GLAM organisations may find these Digital Practice   guidelines for Public Libraries useful!  #GlamSlam2018  h…",FALSE,0,NA,2018-03-02 05:37:54,FALSE,NA,"969446678959968256",NA,"<a href=""http://measuredvoice.com"" rel=""nofollow"">Great Oz Gov Tweets</a>","GreatOzGovTweet",23,TRUE,FALSE,NA,NA
"19","GLAMSLAMMERS I have uploaded photos from #GLAMSLAM2018 to the Australian Centre for Public History's facebook page.… https://t.co/i2bquPDpsV",FALSE,6,NA,2018-03-02 04:49:23,TRUE,NA,"969434469923876865",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cap_and_gown",2,FALSE,FALSE,NA,NA
"20","RT @BonnieWildie: Interestingly, the attendees at the #glamslam2018 Hacking GLAM session were researchers and educators - no institutional…",FALSE,0,NA,2018-03-02 04:42:00,FALSE,NA,"969432609892675584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WrightPaige",5,TRUE,FALSE,NA,NA
"21","RT @cap_and_gown: Everyone who isn’t a library is an archive (according to our copyright overlords) Jessica Coates #glamslam2018",FALSE,0,NA,2018-03-02 04:38:14,FALSE,NA,"969431662579740672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","morethangrass",3,TRUE,FALSE,NA,NA
"22","RT @statelibrarynsw: We’re heading off to #glamslam2018 - ready to share our ideas and projects with the GLAM community. Anticipating a gre…",FALSE,0,NA,2018-03-02 03:37:53,FALSE,NA,"969416477517414401",NA,"<a href=""http://measuredvoice.com"" rel=""nofollow"">Great Oz Gov Tweets</a>","GreatOzGovTweet",10,TRUE,FALSE,NA,NA
"23","HAMILTON
The Ultimate Photo Shoot!
Beach. Lake. Poolside. Wherever. Whenever! https://t.co/vNp4Sr9ms1
#beach… https://t.co/w1N70mf46b",FALSE,4,NA,2018-03-02 02:26:47,TRUE,NA,"969398585287684096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lawrencehk14",6,FALSE,FALSE,NA,NA
"24","RT @jinglefrisbee: Thank you Marcus Hughes for reading this piece by  Jacob Boehme in full in this room #glamslam2018 https://t.co/xfn8ZSXj…",FALSE,0,NA,2018-03-02 01:23:00,FALSE,NA,"969382529844199424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beet_keeper",7,TRUE,FALSE,NA,NA
"25","Ann's giving us an overview of the GLAMx Lab which engages students through a Work Integrated Learning program UoNA… https://t.co/c5FP0rpasy",FALSE,0,NA,2018-03-02 01:13:31,TRUE,NA,"969380145709580289",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LivingHistUON",0,FALSE,FALSE,NA,NA
"26","This is great mapping work, but I would like to virtually fly through the heavens like a virtual sky diver, accessi… https://t.co/xVIdsSUL0C",FALSE,1,NA,2018-03-02 01:13:31,TRUE,NA,"969380143180460033",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LivingHistUON",0,FALSE,FALSE,NA,NA
"27","RT @Dr_Costume1: @cap_and_gown I still keep #thinking about your quote after #glamslam2018 yesterday, ""#Imagine how #good it would be if th…",FALSE,0,NA,2018-03-02 00:42:52,FALSE,NA,"969372430727766016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cap_and_gown",1,TRUE,FALSE,NA,NA
"28","RT @ellenforsyth: #glamslam2018 example of #iiif collaboration https://t.co/1XunCbue5R and 'democratises access' so items from small collec…",FALSE,0,NA,2018-03-02 00:41:34,FALSE,NA,"969372104289333248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iiif_io",4,TRUE,FALSE,NA,NA
"29","RT @Dr_Costume1: The #IIIF is fantastic and I love it for my #resesarch @laBnF in particular #glamslam2018",FALSE,0,NA,2018-03-02 00:41:18,FALSE,NA,"969372039558688770",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iiif_io",1,TRUE,FALSE,NA,NA
"30","@cap_and_gown I still keep #thinking about your quote after #glamslam2018 yesterday, ""#Imagine how #good it would b… https://t.co/UKfsbu7FO9",FALSE,3,"cap_and_gown",2018-03-02 00:16:59,TRUE,NA,"969365919880237056","330879643","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dr_Costume1",1,FALSE,FALSE,NA,NA
"31","RT @cfwriter: Okay, so it’s not really a mirror ball but this is a fine substitute for all the #GLAMSLAM2018 folk wrapping up after a great…",FALSE,0,NA,2018-03-01 23:32:08,FALSE,NA,"969354633167585280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cap_and_gown",1,TRUE,FALSE,NA,NA
"32","RT @statelibrarynsw: Smaller GLAM organisations may find these Digital Practice   guidelines for Public Libraries useful!  #GlamSlam2018  h…",FALSE,0,NA,2018-03-01 22:59:18,FALSE,NA,"969346366718619648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","parradiscovery",23,TRUE,FALSE,NA,NA
"33","@mikejonesmelb Yes, and invent a microphone we can throw. @ausarchivists @morethangrass in time for ASA Perth Blade… https://t.co/hmL9q55UxI",FALSE,1,"mikejonesmelb",2018-03-01 22:33:01,TRUE,"969335310772400128","969339753748250624","386814685","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GionniDG",2,FALSE,FALSE,NA,NA
